inst_i,inst_j,weight
https://openalex.org/I111088046,https://openalex.org/I151746483,162
https://openalex.org/I111088046,https://openalex.org/I157725225,447
https://openalex.org/I111088046,https://openalex.org/I169381384,387
https://openalex.org/I111088046,https://openalex.org/I205783295,1049
https://openalex.org/I111088046,https://openalex.org/I887064364,681
https://openalex.org/I114090438,https://openalex.org/I121797337,166
https://openalex.org/I114090438,https://openalex.org/I145872427,589
https://openalex.org/I114090438,https://openalex.org/I151746483,82
https://openalex.org/I114090438,https://openalex.org/I157725225,131
https://openalex.org/I114090438,https://openalex.org/I169381384,341
https://openalex.org/I114090438,https://openalex.org/I887064364,408
https://openalex.org/I121797337,https://openalex.org/I136199984,560
https://openalex.org/I121797337,https://openalex.org/I138006243,603
https://openalex.org/I121797337,https://openalex.org/I145872427,2187
https://openalex.org/I121797337,https://openalex.org/I151746483,159
https://openalex.org/I121797337,https://openalex.org/I157725225,190
https://openalex.org/I121797337,https://openalex.org/I169381384,1878
https://openalex.org/I121797337,https://openalex.org/I205783295,333
https://openalex.org/I121797337,https://openalex.org/I887064364,2996
https://openalex.org/I136199984,https://openalex.org/I138006243,2315
https://openalex.org/I136199984,https://openalex.org/I145872427,1389
https://openalex.org/I136199984,https://openalex.org/I151746483,555
https://openalex.org/I136199984,https://openalex.org/I157725225,1227
https://openalex.org/I136199984,https://openalex.org/I169381384,1523
https://openalex.org/I136199984,https://openalex.org/I887064364,1454
https://openalex.org/I138006243,https://openalex.org/I145872427,282
https://openalex.org/I138006243,https://openalex.org/I151746483,231
https://openalex.org/I138006243,https://openalex.org/I157725225,1066
https://openalex.org/I138006243,https://openalex.org/I169381384,318
https://openalex.org/I138006243,https://openalex.org/I205783295,1469
https://openalex.org/I138006243,https://openalex.org/I887064364,351
https://openalex.org/I145872427,https://openalex.org/I151746483,133
https://openalex.org/I145872427,https://openalex.org/I157725225,178
https://openalex.org/I145872427,https://openalex.org/I169381384,4366
https://openalex.org/I145872427,https://openalex.org/I205783295,514
